RowNumber,IdClient,NomFamille,ScoreCredit,ZoneGeo,Genre,Age,Anciennete,Solde,NbProduits,CarteCredit,MembreActif,SalaireEstim,Churn
1,15687492,Anderson,596,Allemagne,Homme,32.0,3,48354.535,2,Non,Non,20894.185,Non
2,15736963,Herring,623,France,Homme,,1,0.0,2,Oui,Oui,73189.65,Non
3,15721730,Amechi,601,Espagne,Femme,44.0,4,0.0,2,Oui,Non,29280.655,Non
4,15762134,Liang,506,Allemagne,Homme,59.0,8,59576.05,2,Oui,Oui,85339.87,Non
5,15648898,Chuang,560,Espagne,Femme,27.0,7,62497.99,1,Oui,Oui,57334.895,Non
6,15659064,Salas,790,Espagne,Homme,37.0,8,0.0,2,Oui,Oui,74709.205,Non
7,15761986,Obialo,439,Espagne,Femme,32.0,3,69450.805,1,Oui,Non,37842.985,Non
8,15713354,Morrice,597,Allemagne,Femme,22.0,6,50764.305,1,Oui,Non,35264.5,Oui
9,15593454,Lambert,678,Espagne,Femme,40.0,4,56897.11,1,Oui,Non,8309.38,Non
10,15690134,Hughes,464,Allemagne,Femme,42.0,3,42839.625,1,Oui,Oui,82052.37,Non
11,15767474,Lorenzo,481,France,Femme,57.0,9,0.0,3,Oui,Oui,84859.675,Oui
12,15785367,McGuffog,651,France,Femme,56.0,4,0.0,1,Non,Non,42191.61,Oui
13,15587507,Feng,850,France,Homme,47.0,6,0.0,1,Oui,Non,93695.51,Oui
14,15569764,Garner,687,Allemagne,Femme,41.0,2,77003.605,1,Oui,Non,79204.115,Non
15,15665062,Lucchese,696,France,Homme,19.0,1,55464.255,1,Oui,Oui,1383.315,Non
16,15759966,Chiemenam,612,Espagne,Femme,36.0,5,59899.635,2,Oui,Non,79708.29,Non
17,15576352,Revell,586,Espagne,Femme,57.0,3,0.0,2,Non,Oui,3028.905,Non
18,15713604,Rossi,425,Allemagne,Homme,40.0,9,83388.3,2,Non,Oui,86323.44,Non
19,15596797,Barnet,643,Espagne,Homme,43.0,1,0.0,2,Oui,Oui,72882.2,Non
20,15744127,Kosovich,641,France,Femme,37.0,2,0.0,2,Oui,Non,1969.935,Non
21,15589420,Osinachi,795,France,Femme,40.0,2,50945.55,1,Oui,Oui,91522.43,Non
22,15727546,Olejuru,762,France,Homme,35.0,9,0.0,2,Oui,Oui,21537.85,Non
23,15696373,Gill,687,France,Femme,44.0,9,0.0,2,Non,Non,51521.1,Oui
24,15656319,Toscano,850,Espagne,Homme,37.0,4,44070.55,1,Oui,Non,54829.56,Non
25,15670354,Jen,753,France,Femme,62.0,6,0.0,2,Oui,Oui,68199.45,Non
26,15673020,Smith,678,France,Femme,49.0,3,102255.47,1,Non,Oui,369.44,Oui
27,15771139,Douglas,578,Allemagne,Homme,34.0,8,73743.615,2,Oui,Non,33340.385,Non
28,15572174,Mazzi,825,France,Homme,29.0,3,74437.005,2,Non,Oui,35596.41,Non
29,15674868,Wei,696,Espagne,Femme,30.0,0,0.0,2,Oui,Oui,4501.4,Non
30,15630244,Chu,457,France,Homme,40.0,10,67160.115,2,Oui,Non,75378.675,Non
31,15678910,Ts'ai,680,France,Femme,30.0,8,70720.875,1,Oui,Oui,8139.485,Non
32,15767793,Hsu,819,France,Femme,38.0,10,0.0,2,Oui,Non,15249.35,Non
33,15695499,Chinwemma,510,France,Femme,45.0,10,51910.735,2,Non,Oui,38939.31,Non
34,15786717,He,567,France,Homme,36.0,1,0.0,2,Non,Non,4277.865,Non
35,15687171,Birch,638,Espagne,Homme,34.0,5,73339.885,1,Oui,Non,51089.93,Non
36,15647385,Ch'iu,579,Espagne,Homme,56.0,4,49670.415,1,Non,Non,2261.87,Oui
37,15588372,Kirsova,715,Allemagne,Femme,37.0,9,52744.655,1,Non,Non,71548.245,Oui
38,15753754,Morrison,587,Espagne,Femme,34.0,1,0.0,2,Oui,Oui,48966.34,Non
39,15669281,Ch'iu,711,Espagne,Homme,38.0,3,64359.39,1,Non,Non,57396.725,Non
40,15726960,O'Brien,741,France,Femme,36.0,3,0.0,2,Oui,Oui,,Non
41,15713845,Merrett,688,France,Homme,38.0,7,74022.84,1,Oui,Non,87739.96,Oui
42,15794171,Lombardo,475,France,Femme,45.0,0,67132.02,1,Oui,Non,13911.495,Oui
43,15751912,Lilly,567,France,Homme,36.0,7,0.0,2,Non,Oui,1948.04,Non
44,15729040,Lamb,440,France,Homme,42.0,2,0.0,2,Oui,Non,24913.34,Non
45,15585249,Mironova,741,France,Homme,,6,53018.26,1,Oui,Non,97343.39,Oui
46,15585768,Cameron,582,Allemagne,Homme,41.0,6,35174.74,2,Non,Oui,89037.02,Non
47,15683157,Waring,613,France,Homme,,4,50223.285,1,Non,Oui,74826.905,Non
48,15763704,Docherty,692,Allemagne,Femme,43.0,2,34507.245,2,Non,Non,82310.715,Non
49,15701121,Holt,521,France,Homme,38.0,5,55320.59,1,Non,Oui,68253.845,Oui
50,15680141,Yuan,759,Espagne,Femme,35.0,7,73968.21,1,Oui,Oui,53392.85,Non
51,15710978,Palerma,715,Allemagne,Homme,42.0,2,44060.485,2,Oui,Oui,10666.61,Non
52,15701741,Williams,711,France,Femme,39.0,3,76231.395,1,Oui,Non,45152.985,Non
53,15728912,Swanson,554,France,Femme,44.0,6,46218.43,1,Oui,Non,63016.95,Non
54,15623063,Taylor,651,Allemagne,Homme,35.0,8,55033.855,1,Oui,Non,63839.475,Oui
55,15800061,Moretti,495,Espagne,Femme,45.0,3,44579.47,3,Oui,Non,67584.88,Oui
56,15807305,Watkins,805,France,Homme,39.0,2,0.0,1,Non,Non,83325.16,Non
57,15666141,Baldwin,829,Espagne,Femme,26.0,8,50720.18,2,Oui,Oui,9662.25,Non
58,15668971,Nicholson,583,France,Femme,40.0,4,27888.195,2,Oui,Non,13460.215,Non
59,15687130,Nkemjika,686,France,Femme,43.0,0,0.0,1,Oui,Oui,85036.45,Non
60,15658956,Tuan,505,Allemagne,Homme,40.0,6,23934.845,2,Oui,Oui,77530.985,Non
61,15639882,She,528,France,Homme,30.0,2,64131.36,2,Oui,Non,25385.58,Non
62,15750574,Lumholtz,677,Espagne,Femme,34.0,4,0.0,2,Oui,Oui,3087.765,Non
63,15738588,Nebechi,660,Allemagne,Femme,37.0,2,66600.045,1,Non,Non,35716.94,Non
64,15812878,Parsons,785,Allemagne,Femme,36.0,2,49903.425,1,Non,Oui,18488.26,Non
65,15734634,Bocharova,607,Espagne,Femme,27.0,5,50456.095,1,Non,Non,3815.635,Non
66,15771674,Ma,603,Espagne,Femme,39.0,5,81195.26,2,Oui,Non,27351.33,Non
67,15774491,Ross,480,France,Femme,28.0,6,0.0,2,Non,Non,24065.96,Non
68,15705174,Chiedozie,656,Allemagne,Homme,68.0,7,76772.555,1,Oui,Oui,93287.34,Non
69,15729238,Peng,631,Allemagne,Homme,48.0,1,53198.24,1,Oui,Oui,75330.71,Oui
70,15585284,Thomson,604,Espagne,Femme,35.0,7,73642.76,1,Oui,Oui,28903.525,Non
71,15569264,Yobanna,622,France,Homme,32.0,5,89652.545,1,Oui,Oui,74521.89,Non
72,15567367,Tao,601,Allemagne,Femme,,9,66818.08,1,Non,Oui,51657.87,Non
73,15706005,Roberts,674,France,Homme,46.0,2,87350.525,1,Oui,Non,45094.86,Oui
74,15644119,Sochima,531,France,Homme,31.0,3,0.0,1,Oui,Oui,21294.665,Non
75,15669656,Macdonald,632,France,Homme,32.0,6,55794.665,1,Oui,Oui,85191.495,Non
76,15809654,Hsia,707,France,Femme,46.0,7,63738.365,2,Oui,Oui,73005.775,Non
77,15801488,Buckner,723,France,Homme,25.0,3,0.0,2,Oui,Oui,67254.735,Non
78,15662908,Davidson,795,Allemagne,Homme,38.0,7,62951.61,2,Oui,Oui,63534.46,Non
79,15690175,Ball,585,Espagne,Homme,45.0,0,0.0,2,Non,Non,94841.85,Non
80,15565779,Kent,627,Allemagne,Femme,30.0,6,28904.66,1,Oui,Non,94129.245,Non
81,15617476,Manfrin,546,France,Femme,30.0,5,0.0,2,Non,Oui,,Non
82,15606149,Wood,571,Allemagne,Femme,66.0,9,55788.505,1,Non,Oui,94635.95,Non
83,15801832,Lombardo,684,Allemagne,Homme,42.0,1,58845.5,1,Oui,Oui,11567.825,Oui
84,15805025,Oster,636,France,Femme,45.0,7,69929.615,1,Oui,Oui,54201.27,Non
85,15713819,Walsh,562,France,Homme,48.0,3,46173.98,1,Oui,Oui,81558.375,Non
86,15775590,Mackay,482,Allemagne,Femme,48.0,2,34664.735,1,Non,Non,51320.26,Oui
87,15574072,Ch'ien,786,France,Femme,,8,0.0,1,Oui,Oui,82851.32,Non
88,15720943,Pirozzi,747,France,Femme,45.0,1,57479.56,1,Oui,Non,,Oui
89,15733111,Yeh,688,Espagne,Homme,,6,62089.65,1,Oui,Oui,69379.575,Non
90,15809509,Venables,699,France,Homme,29.0,3,62844.645,1,Oui,Oui,75811.855,Non
91,15676156,Boyle,528,France,Femme,,4,42807.83,2,Oui,Non,78096.215,Non
92,15661409,Shen,542,France,Femme,42.0,1,0.0,1,Oui,Oui,89128.29,Oui
93,15639133,Ku,773,France,Femme,50.0,4,0.0,2,Oui,Non,64686.47,Non
94,15798521,Tai,675,Espagne,Homme,33.0,3,0.0,2,Oui,Non,22674.04,Non
95,15609637,Nkemakolam,652,,Homme,51.0,7,0.0,2,Non,Oui,21748.18,Non
96,15644174,Marchesi,638,Allemagne,Homme,27.0,4,67548.025,1,Oui,Oui,93261.86,Oui
97,15793723,Ch'iu,607,Allemagne,Homme,32.0,9,72136.035,2,Oui,Non,88290.315,Non
98,15802758,Chinwendu,594,Allemagne,Femme,23.0,4,52376.92,2,Oui,Non,28378.26,Oui
99,15609987,Smith,755,,Homme,42.0,2,59959.56,1,Oui,Non,78434.105,Non
